id,orderId,mode,originCity,originCountry,destinationCity,destinationCountry,originLat,originLng,destinationLat,destinationLng,hub,carrier,plannedDeparture,plannedArrival,actualArrival,delayDays,costEur,weightKg,volumeM3,priority,status,delayReason,co2Kg,riskScore,riskLevel,costPerKg,dataQualityFlag
SHP-0001,ORD-38657,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,NorthSea Logistics,2026-02-03,2026-02-14,2026-02-14,0,4187.02,5336.5,58.12,Low,Delivered,No delay,373.6,26,Low,0.785,
SHP-0002,ORD-65392,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Amsterdam Schiphol,Global Freight Partners,2026-01-31,2026-02-05,2026-02-05,0,2768.3,3603.0,18.95,High,Delivered,No delay,432.4,42,Medium,0.768,
SHP-0003,ORD-26361,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Paris CDG,Alpine Transport,2026-01-19,2026-01-20,2026-01-20,0,1327.11,2915.4,23.14,Low,Delivered,No delay,349.8,18,Low,0.455,
SHP-0004,ORD-23238,Air,Paris,France,Istanbul,Turkey,48.8566,2.3522,41.0082,28.9784,Paris Hub,Global Freight Partners,2026-02-21,2026-02-23,2026-02-23,0,3134.56,529.2,15.74,Low,Delivered,No delay,793.8,24,Low,5.923,
SHP-0005,ORD-80010,Road,Barcelona,Spain,Paris,France,41.3874,2.1686,48.8566,2.3522,Paris CDG,Alpine Transport,2026-01-26,2026-01-29,2026-01-29,0,2189.79,5286.7,45.98,Medium,Delivered,No delay,634.4,28,Low,0.414,
SHP-0006,ORD-51347,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,Global Freight Partners,2026-02-09,2026-03-08,2026-03-08,0,1862.37,1853.5,21.89,Medium,Delivered,No delay,259.5,32,Low,1.005,
SHP-0007,ORD-83579,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris Hub,Global Freight Partners,2026-02-15,2026-02-17,2026-02-17,0,2425.76,3194.7,59.55,Medium,Delivered,No delay,383.4,28,Low,0.759,
SHP-0008,ORD-99192,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Jebel Ali Port,BlueRoute Logistics,2026-02-26,2026-03-16,2026-03-19,3,2660.3,3940.6,49.42,High,Delayed,Carrier capacity issue,551.7,76,High,0.675,
SHP-0009,ORD-44973,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris CDG,BlueRoute Logistics,2026-03-06,2026-03-11,2026-03-11,0,2540.79,4395.6,61.33,Medium,Delivered,No delay,527.5,32,Low,0.578,
SHP-0010,ORD-23947,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Gateway,Global Freight Partners,2026-03-02,2026-03-04,2026-03-04,0,9913.52,7448.1,57.08,Low,Delivered,No delay,22344.3,36,Low,1.331,
SHP-0011,ORD-57576,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Hub,AirSwift Cargo,2026-02-22,2026-02-24,2026-02-24,0,7086.4,6113.1,35.04,Low,Delivered,No delay,9169.7,30,Low,1.159,
SHP-0012,ORD-31643,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Hub,SkyFreight Express,2026-02-05,2026-02-06,,12,12187.74,7632.2,35.19,Low,In transit,Airport handling delay,11448.3,81,Critical,1.597,Missing actual arrival
SHP-0013,ORD-42493,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Paris Hub,EuroCargo Line,2026-03-16,2026-03-18,2026-03-18,0,3580.09,3220.3,44.05,Medium,Delivered,No delay,386.4,32,Low,1.112,
SHP-0014,ORD-53309,Road,Rotterdam,Netherlands,Paris,France,51.9244,4.4777,48.8566,2.3522,Rotterdam Port,Global Freight Partners,2026-03-17,2026-03-19,2026-03-19,0,1448.91,234.8,46.36,Low,Delivered,No delay,28.2,18,Low,6.171,
SHP-0015,ORD-65519,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Milan Hub,BlueRoute Logistics,2026-02-02,2026-02-07,2026-02-19,12,2365.54,6158.8,52.72,Low,At risk,Carrier capacity issue,739.1,63,High,0.384,
SHP-0016,ORD-34050,Road,Marseille,France,Milan,Italy,43.2965,5.3698,45.4642,9.19,Marseille-Fos Port,RoadFast Europe,2026-01-13,2026-01-17,2026-01-17,0,2340.56,6280.5,8.17,Low,Delivered,No delay,753.7,18,Low,0.373,
SHP-0017,ORD-62565,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Lyon Hub,BlueRoute Logistics,2026-03-17,2026-03-18,2026-03-19,1,3224.27,7238.9,55.35,Low,Delayed,Road traffic,868.7,37,Low,0.445,
SHP-0018,ORD-96752,Air,Frankfurt,Germany,New York,United States,50.1109,8.6821,40.7128,-74.006,Frankfurt Airport,SkyFreight Express,2026-02-24,2026-02-27,2026-02-27,0,11092.85,6162.7,19.4,Medium,Delivered,No delay,18488.1,46,Medium,1.8,
SHP-0019,ORD-79615,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,Maghreb Maritime,2026-02-02,2026-02-10,2026-02-10,0,5044.77,4311.5,48.92,Low,Delivered,No delay,603.6,32,Low,1.17,
SHP-0020,ORD-64948,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Frankfurt Airport,EuroCargo Line,2026-01-14,2026-01-19,2026-01-23,4,2927.43,1093.5,58.0,Low,At risk,Weather disruption,131.2,52,Medium,2.677,
SHP-0021,ORD-19508,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,Maghreb Maritime,2026-02-01,2026-03-01,2026-03-01,0,3152.37,1998.8,26.45,Medium,Delivered,No delay,139.9,36,Low,1.577,
SHP-0022,ORD-81200,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Paris CDG,RoadFast Europe,2026-01-15,2026-01-20,2026-01-25,5,2976.01,7291.4,57.4,High,At risk,Carrier capacity issue,875.0,72,High,0.408,
SHP-0023,ORD-54942,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,BlueRoute Logistics,2026-02-13,2026-03-13,2026-03-16,3,2793.99,1059.6,8.03,Medium,Delayed,Weather disruption,74.2,66,High,2.637,
SHP-0024,ORD-27146,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Barajas,Global Freight Partners,2026-03-09,2026-03-12,2026-03-12,0,1705.02,6627.3,7.09,Medium,Delivered,No delay,795.3,28,Low,0.257,
SHP-0025,ORD-58393,Sea,Marseille,France,Tangier,Morocco,43.2965,5.3698,35.7595,-5.834,Marseille-Fos Port,Global Freight Partners,2026-03-17,2026-04-06,2026-04-06,0,2638.09,1032.5,61.49,Medium,Delivered,No delay,72.3,36,Low,2.555,
SHP-0026,ORD-97416,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,NorthSea Logistics,2026-01-11,2026-01-27,2026-01-27,0,4245.73,7290.1,63.23,Low,Delivered,No delay,1020.6,26,Low,0.582,
SHP-0027,ORD-53540,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Hamburg Port,Global Freight Partners,2026-01-25,2026-01-27,2026-01-27,0,2626.69,7618.7,52.93,High,Delivered,No delay,914.2,42,Medium,0.345,
SHP-0028,ORD-39831,Air,Paris,France,Istanbul,Turkey,48.8566,2.3522,41.0082,28.9784,Paris Hub,,2026-01-26,2026-01-27,2026-01-27,0,10133.74,475.1,31.23,Low,Delivered,No delay,712.7,36,Low,21.33,Missing carrier
SHP-0029,ORD-80282,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Hub,BlueRoute Logistics,2026-02-17,2026-02-20,2026-02-20,0,2995.85,7547.7,19.01,Medium,Delivered,No delay,905.7,32,Low,0.397,
SHP-0030,ORD-89457,Road,Paris,France,Lyon,France,48.8566,2.3522,45.764,4.8357,Paris Hub,Alpine Transport,2026-01-28,2026-02-02,2026-02-02,0,2407.86,2202.9,8.12,Medium,Delivered,No delay,264.3,28,Low,1.093,
SHP-0031,ORD-97900,Air,Paris,France,Dubai,United Arab Emirates,48.8566,2.3522,25.2048,55.2708,Paris CDG,AirSwift Cargo,2026-02-07,2026-02-08,2026-02-08,0,9539.52,192.9,60.25,Medium,Delivered,No delay,578.7,46,Medium,49.453,
SHP-0032,ORD-26683,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Hamburg Port,Alpine Transport,2026-02-15,2026-02-16,2026-02-16,0,1962.36,2468.5,20.93,Medium,Delivered,No delay,296.2,28,Low,0.795,
SHP-0033,ORD-52237,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Barajas,EuroCargo Line,2026-03-19,2026-03-22,2026-03-22,0,3428.97,6533.0,20.59,Low,Delivered,No delay,784.0,22,Low,0.525,
SHP-0034,ORD-40784,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,BlueRoute Logistics,2026-03-07,2026-03-19,2026-03-19,0,2334.53,2342.5,43.55,Medium,Delivered,No delay,328.0,32,Low,0.997,
